s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.082,0.32499999999999996,0.0,6.683347232876724e-16,0.0,6.683347232876724e-16,
0.082,0.32499999999999996,0.25,0.00534464790420471,0.005344647904204707,3.469446951953614e-18,6.491441558244002e-16
0.082,0.32499999999999996,0.5,0.01068929580840942,0.010689295808409414,6.938893903907228e-18,6.491441558244002e-16
0.082,0.35,0.0,6.682018736408099e-16,0.0,6.682018736408099e-16,
0.082,0.35,0.25,0.00573948519159729,0.005739485191597291,8.673617379884035e-19,1.5112187052215705e-16
0.082,0.35,0.5,0.01147897038319458,0.011478970383194582,1.734723475976807e-18,1.5112187052215705e-16
0.082,0.37499999999999994,0.0,6.668764126876057e-16,0.0,6.668764126876057e-16,
0.082,0.37499999999999994,0.25,0.006130735487573435,0.006130735487573433,1.734723475976807e-18,2.829551983596371e-16
0.082,0.37499999999999994,0.5,0.01226147097514687,0.012261470975146866,3.469446951953614e-18,2.829551983596371e-16
0.082,0.39999999999999997,0.0,6.675871078331362e-16,0.0,6.675871078331362e-16,
0.082,0.39999999999999997,0.25,0.006518154273433898,0.006518154273433898,0.0,0.0
0.082,0.39999999999999997,0.5,0.013036308546867797,0.013036308546867796,1.734723475976807e-18,1.33068611389503e-16
0.082,0.425,0.0,6.6758867343617635e-16,0.0,6.6758867343617635e-16,
0.082,0.425,0.25,0.006901499425048547,0.006901499425048548,8.673617379884035e-19,1.2567728903089813e-16
