jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
7.926300384433643e-09,9.907875284357998e-10,7.926301012222638e-09,0.002061044703449255,53,8192,0.055,0.30618621784789724
1.0515550653269851e-08,1.314443713418819e-09,1.0515554436947481e-08,0.004114439848038387,54,8192,0.055,0.30618621784789724
5.213870174869892e-09,6.517337673506156e-10,5.213870319129762e-09,0.0013275338750062815,55,8192,0.055,0.30618621784789724
6.0648290059516705e-09,7.58103618798825e-10,6.064829228195957e-09,0.001380530441135619,56,8192,0.055,0.30618621784789724
1.0038894719409473e-08,1.2548617716879476e-09,1.0038896903033217e-08,0.0035240040123802885,57,8192,0.055,0.30618621784789724
7.047159747597447e-09,8.808949422575328e-10,7.047160585746224e-09,0.002728383827886205,58,8192,0.055,0.30618621784789724
7.572205860756065e-09,9.465257132562576e-10,7.5722064795801e-09,0.002294464353255421,59,8192,0.055,0.30618621784789724
7.610013806873925e-09,9.51251711304566e-10,7.610014272623514e-09,0.0019722379479567564,60,8192,0.055,0.30618621784789724
1.0068638263343825e-08,1.25857961068146e-09,1.0068643774913109e-08,0.004337974041501269,61,8192,0.055,0.30618621784789724
6.825696402499614e-09,8.532120342321204e-10,6.825696917070229e-09,0.00175253305134504,62,8192,0.055,0.30618621784789724
7.210680230228885e-09,9.013350168096453e-10,7.210680613235784e-09,0.001585505756256822,63,8192,0.055,0.30618621784789724
6.581235374410182e-09,8.226544113306987e-10,6.581235709468551e-09,0.00171097978424406,64,8192,0.055,0.30618621784789724
9.161786524533384e-09,1.145223253181421e-09,9.161788520861578e-09,0.003215018681268944,65,8192,0.055,0.30618621784789724
8.448306488356012e-09,1.0560382875715518e-09,8.448307239490422e-09,0.0019187803435958273,66,8192,0.055,0.30618621784789724
8.642776525583121e-09,1.080346951529088e-09,8.64278017898528e-09,0.004215722663406751,67,8192,0.055,0.30618621784789724
7.286030958957259e-09,9.107538557690607e-10,7.286031410176359e-09,0.0016119202949997913,68,8192,0.055,0.30618621784789724
8.332264432146134e-09,1.0415329643823369e-09,8.332267300496221e-09,0.003983897760228672,69,8192,0.055,0.30618621784789724
7.893294446589437e-09,9.866617803076097e-10,7.893295263103701e-09,0.002374060053739413,70,8192,0.055,0.30618621784789724
6.626449905606874e-09,8.283062170222865e-10,6.626450583321224e-09,0.002405421389555684,71,8192,0.055,0.30618621784789724
8.414174517425578e-09,1.0517717853955156e-09,8.41417545447141e-09,0.00219770602808822,72,8192,0.055,0.30618621784789724
7.559538149955e-09,9.449422542860245e-10,7.559538612622222e-09,0.0016017399471408567,73,8192,0.055,0.30618621784789724
6.410038478717714e-09,8.012548012205448e-10,6.410038754531139e-09,0.0015576657410214523,74,8192,0.055,0.30618621784789724
5.5288832324794265e-09,6.911103968295938e-10,5.528883463850131e-09,0.0015122120824138108,75,8192,0.055,0.30618621784789724
8.503184225735692e-09,1.0628979990412368e-09,8.503185159358922e-09,0.002188372372058822,76,8192,0.055,0.30618621784789724
8.336303134009698e-09,1.042037867484735e-09,8.336303910536983e-09,0.002122516673075836,77,8192,0.055,0.30618621784789724
5.78785471025139e-09,7.234818322279087e-10,5.7878549199638795e-09,0.0015217650024617058,78,8192,0.055,0.30618621784789724
1.4956207753423864e-08,1.869525351900147e-09,1.495622750632048e-08,0.006348281773615128,79,8192,0.055,0.30618621784789724
8.839254829224078e-09,1.1049068307229242e-09,8.839255562986827e-09,0.002152573073438191,80,8192,0.055,0.30618621784789724
7.742276387048197e-09,9.677845125006391e-10,7.742277535220588e-09,0.0028724998781139988,81,8192,0.055,0.30618621784789724
1.4229037869452778e-08,1.7786290490954257e-09,1.4229059776218028e-08,0.006708154801167154,82,8192,0.055,0.30618621784789724
6.572261274649918e-09,8.215326457330829e-10,6.572261709790947e-09,0.0018895548525588168,83,8192,0.055,0.30618621784789724
8.257778200749526e-09,1.03222224857466e-09,8.25777904935853e-09,0.0020177280573427936,84,8192,0.055,0.30618621784789724
7.2927867933712205e-09,9.115983302839187e-10,7.292787397770716e-09,0.002009767597712653,85,8192,0.055,0.30618621784789724
7.284992980136616e-09,9.106240955284138e-10,7.284993843773868e-09,0.002485265523981539,86,8192,0.055,0.30618621784789724
7.352437212146499e-09,9.190546365162066e-10,7.352437692213892e-09,0.0017122559515065916,87,8192,0.055,0.30618621784789724
5.6311308137819635e-09,7.038913429536152e-10,5.631131094394139e-09,0.0016051202082429938,88,8192,0.055,0.30618621784789724
8.313711318019057e-09,1.039213877076364e-09,8.313712523651708e-09,0.002973054523501162,89,8192,0.055,0.30618621784789724
6.138766945350423e-09,7.673458575018378e-10,6.138767286693309e-09,0.0018550148240183972,90,8192,0.055,0.30618621784789724
7.455534986950926e-09,9.31941852878222e-10,7.455535642651535e-09,0.002131165333521423,91,8192,0.055,0.30618621784789724
